"Notes"	"Year"	"Year Code"	"HHS Region"	"HHS Region Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Intestinal infectious diseases"	"A00-A09"	"55-64 years"	"55-64"	"Female"	"F"	21	1090298	1.9
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Intestinal infectious diseases"	"A00-A09"	"55-64 years"	"55-64"	"Male"	"M"	20	1017796	2.0
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Intestinal infectious diseases"	"A00-A09"	"65-74 years"	"65-74"	"Female"	"F"	40	768048	5.2
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Intestinal infectious diseases"	"A00-A09"	"65-74 years"	"65-74"	"Male"	"M"	31	678293	4.6
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Intestinal infectious diseases"	"A00-A09"	"75-84 years"	"75-84"	"Female"	"F"	78	400999	19.5
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Intestinal infectious diseases"	"A00-A09"	"75-84 years"	"75-84"	"Male"	"M"	54	302811	17.8
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Intestinal infectious diseases"	"A00-A09"	"85+ years"	"85+"	"Female"	"F"	132	237767	55.5
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Intestinal infectious diseases"	"A00-A09"	"85+ years"	"85+"	"Male"	"M"	60	120296	49.9
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Other bacterial diseases"	"A30-A49"	"35-44 years"	"35-44"	"Male"	"M"	14	860656	Unreliable
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Other bacterial diseases"	"A30-A49"	"45-54 years"	"45-54"	"Female"	"F"	33	1061174	3.1
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Other bacterial diseases"	"A30-A49"	"45-54 years"	"45-54"	"Male"	"M"	62	1005454	6.2
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Other bacterial diseases"	"A30-A49"	"55-64 years"	"55-64"	"Female"	"F"	114	1090298	10.5
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Other bacterial diseases"	"A30-A49"	"55-64 years"	"55-64"	"Male"	"M"	135	1017796	13.3
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Other bacterial diseases"	"A30-A49"	"65-74 years"	"65-74"	"Female"	"F"	198	768048	25.8
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Other bacterial diseases"	"A30-A49"	"65-74 years"	"65-74"	"Male"	"M"	221	678293	32.6
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Other bacterial diseases"	"A30-A49"	"75-84 years"	"75-84"	"Female"	"F"	294	400999	73.3
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Other bacterial diseases"	"A30-A49"	"75-84 years"	"75-84"	"Male"	"M"	243	302811	80.2
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Other bacterial diseases"	"A30-A49"	"85+ years"	"85+"	"Female"	"F"	413	237767	173.7
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Other bacterial diseases"	"A30-A49"	"85+ years"	"85+"	"Male"	"M"	299	120296	248.6
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Viral hepatitis"	"B15-B19"	"45-54 years"	"45-54"	"Male"	"M"	24	1005454	2.4
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Viral hepatitis"	"B15-B19"	"55-64 years"	"55-64"	"Female"	"F"	26	1090298	2.4
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Viral hepatitis"	"B15-B19"	"55-64 years"	"55-64"	"Male"	"M"	68	1017796	6.7
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Viral hepatitis"	"B15-B19"	"65-74 years"	"65-74"	"Male"	"M"	38	678293	5.6
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"45-54 years"	"45-54"	"Female"	"F"	12	1061174	Unreliable
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"45-54 years"	"45-54"	"Male"	"M"	19	1005454	Unreliable
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"55-64 years"	"55-64"	"Female"	"F"	16	1090298	Unreliable
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"55-64 years"	"55-64"	"Male"	"M"	47	1017796	4.6
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"65-74 years"	"65-74"	"Female"	"F"	11	768048	Unreliable
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"65-74 years"	"65-74"	"Male"	"M"	22	678293	3.2
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Other viral diseases"	"B25-B34"	"75-84 years"	"75-84"	"Female"	"F"	13	400999	Unreliable
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Other viral diseases"	"B25-B34"	"85+ years"	"85+"	"Female"	"F"	16	237767	Unreliable
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Other viral diseases"	"B25-B34"	"85+ years"	"85+"	"Male"	"M"	10	120296	Unreliable
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Malignant neoplasms"	"C00-C97"	"5-14 years"	"5-14"	"Female"	"F"	17	806266	Unreliable
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Malignant neoplasms"	"C00-C97"	"5-14 years"	"5-14"	"Male"	"M"	24	841732	2.9
	"2017"	"2017"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Malignant neoplasms"	"C00-C97"	"15-24 years"	"15-24"	"Female"	"F"	16	993774	Unreliable
