Year,Year Code,ICD Sub-Chapter,ICD Sub-Chapter Code,HHS Region,HHS Region Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Gender,Gender Code,Deaths,Population,Crude Rate
2005.0,2005.0,Intestinal infectious diseases,A00-A09,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Female,F,10.0,806721.0,Unreliable
2005.0,2005.0,Intestinal infectious diseases,A00-A09,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Female,F,37.0,496810.0,7.4
2005.0,2005.0,Intestinal infectious diseases,A00-A09,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Male,M,35.0,419268.0,8.3
2005.0,2005.0,Intestinal infectious diseases,A00-A09,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Female,F,110.0,423068.0,26
2005.0,2005.0,Intestinal infectious diseases,A00-A09,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Male,M,87.0,280970.0,31
2005.0,2005.0,Intestinal infectious diseases,A00-A09,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Female,F,148.0,200364.0,73.9
2005.0,2005.0,Intestinal infectious diseases,A00-A09,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Male,M,61.0,83492.0,73.1
2005.0,2005.0,Other bacterial diseases,A30-A49,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,25-34 years,25-34,Female,F,10.0,876751.0,Unreliable
2005.0,2005.0,Other bacterial diseases,A30-A49,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,35-44 years,35-44,Female,F,14.0,1124163.0,Unreliable
2005.0,2005.0,Other bacterial diseases,A30-A49,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,35-44 years,35-44,Male,M,30.0,1081288.0,2.8
2005.0,2005.0,Other bacterial diseases,A30-A49,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,45-54 years,45-54,Female,F,44.0,1113840.0,4
2005.0,2005.0,Other bacterial diseases,A30-A49,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,45-54 years,45-54,Male,M,53.0,1064486.0,5
2005.0,2005.0,Other bacterial diseases,A30-A49,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Female,F,80.0,806721.0,9.9
2005.0,2005.0,Other bacterial diseases,A30-A49,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Male,M,106.0,754210.0,14.1
2005.0,2005.0,Other bacterial diseases,A30-A49,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Female,F,172.0,496810.0,34.6
2005.0,2005.0,Other bacterial diseases,A30-A49,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Male,M,154.0,419268.0,36.7
2005.0,2005.0,Other bacterial diseases,A30-A49,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Female,F,358.0,423068.0,84.6
2005.0,2005.0,Other bacterial diseases,A30-A49,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Male,M,322.0,280970.0,114.6
2005.0,2005.0,Other bacterial diseases,A30-A49,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Female,F,449.0,200364.0,224.1
2005.0,2005.0,Other bacterial diseases,A30-A49,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Male,M,236.0,83492.0,282.7
2005.0,2005.0,Viral hepatitis,B15-B19,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,45-54 years,45-54,Female,F,17.0,1113840.0,Unreliable
2005.0,2005.0,Viral hepatitis,B15-B19,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,45-54 years,45-54,Male,M,65.0,1064486.0,6.1
2005.0,2005.0,Viral hepatitis,B15-B19,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Female,F,14.0,806721.0,Unreliable
2005.0,2005.0,Viral hepatitis,B15-B19,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Male,M,30.0,754210.0,4
2005.0,2005.0,Human immunodeficiency virus [HIV] disease,B20-B24,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,25-34 years,25-34,Male,M,14.0,855891.0,Unreliable
2005.0,2005.0,Human immunodeficiency virus [HIV] disease,B20-B24,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,35-44 years,35-44,Female,F,49.0,1124163.0,4.4
2005.0,2005.0,Human immunodeficiency virus [HIV] disease,B20-B24,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,35-44 years,35-44,Male,M,86.0,1081288.0,8
2005.0,2005.0,Human immunodeficiency virus [HIV] disease,B20-B24,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,45-54 years,45-54,Female,F,48.0,1113840.0,4.3
2005.0,2005.0,Human immunodeficiency virus [HIV] disease,B20-B24,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,45-54 years,45-54,Male,M,101.0,1064486.0,9.5
2005.0,2005.0,Human immunodeficiency virus [HIV] disease,B20-B24,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Female,F,17.0,806721.0,Unreliable
2005.0,2005.0,Human immunodeficiency virus [HIV] disease,B20-B24,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Male,M,44.0,754210.0,5.8
2005.0,2005.0,Human immunodeficiency virus [HIV] disease,B20-B24,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Male,M,12.0,419268.0,Unreliable
2005.0,2005.0,Other viral diseases,B25-B34,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Female,F,12.0,200364.0,Unreliable
2005.0,2005.0,Sequelae of infectious and parasitic diseases,B90-B94,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,45-54 years,45-54,Male,M,36.0,1064486.0,3.4
2005.0,2005.0,Sequelae of infectious and parasitic diseases,B90-B94,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Male,M,15.0,754210.0,Unreliable
2005.0,2005.0,Sequelae of infectious and parasitic diseases,B90-B94,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Female,F,14.0,496810.0,Unreliable
2005.0,2005.0,Sequelae of infectious and parasitic diseases,B90-B94,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Female,F,16.0,423068.0,Unreliable
2005.0,2005.0,Sequelae of infectious and parasitic diseases,B90-B94,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Male,M,10.0,280970.0,Unreliable
2005.0,2005.0,Malignant neoplasms,C00-C97,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,5-14 years,14-May,Female,F,18.0,901060.0,Unreliable
2005.0,2005.0,Malignant neoplasms,C00-C97,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,5-14 years,14-May,Male,M,24.0,946656.0,2.5
2005.0,2005.0,Malignant neoplasms,C00-C97,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,15-24 years,15-24,Female,F,29.0,962939.0,3
