Year,Year Code,HHS Region,HHS Region Code,ICD Sub-Chapter,ICD Sub-Chapter Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Gender,Gender Code,Deaths,Population,Crude Rate
2015.0,2015.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,45-54 years,45-54,Male,M,14.0,1050488.0,Unreliable
2015.0,2015.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,55-64 years,55-64,Female,F,32.0,1061729.0,3
2015.0,2015.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,55-64 years,55-64,Male,M,24.0,992105.0,2.4
2015.0,2015.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,65-74 years,65-74,Female,F,56.0,710316.0,7.9
2015.0,2015.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,65-74 years,65-74,Male,M,45.0,627566.0,7.2
2015.0,2015.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,75-84 years,75-84,Female,F,94.0,385002.0,24.4
2015.0,2015.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,75-84 years,75-84,Male,M,82.0,286053.0,28.7
2015.0,2015.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,85+ years,85+,Female,F,183.0,235967.0,77.6
2015.0,2015.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,85+ years,85+,Male,M,102.0,116471.0,87.6
2015.0,2015.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,35-44 years,35-44,Male,M,17.0,867110.0,Unreliable
2015.0,2015.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,45-54 years,45-54,Female,F,37.0,1106211.0,3.3
2015.0,2015.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,45-54 years,45-54,Male,M,48.0,1050488.0,4.6
2015.0,2015.0,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,55-64 years,55-64,Female,F,128.0,1061729.0,12.1
