Notes,Year,Year Code,ICD Sub-Chapter,ICD Sub-Chapter Code,HHS Region,HHS Region Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Gender,Gender Code,Deaths,Population,Crude Rate
,2005,2005,Intestinal infectious diseases,A00-A09,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Female,F,10,806721,Unreliable
,2005,2005,Intestinal infectious diseases,A00-A09,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Female,F,37,496810,7.4
,2005,2005,Intestinal infectious diseases,A00-A09,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Male,M,35,419268,8.3
,2005,2005,Intestinal infectious diseases,A00-A09,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Female,F,110,423068,26
,2005,2005,Intestinal infectious diseases,A00-A09,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Male,M,87,280970,31
,2005,2005,Intestinal infectious diseases,A00-A09,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Female,F,148,200364,73.9
,2005,2005,Intestinal infectious diseases,A00-A09,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Male,M,61,83492,73.1
,2005,2005,Other bacterial diseases,A30-A49,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,25-34 years,25-34,Female,F,10,876751,Unreliable
,2005,2005,Other bacterial diseases,A30-A49,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,35-44 years,35-44,Female,F,14,1124163,Unreliable
,2005,2005,Other bacterial diseases,A30-A49,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,35-44 years,35-44,Male,M,30,1081288,2.8
,2005,2005,Other bacterial diseases,A30-A49,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,45-54 years,45-54,Female,F,44,1113840,4
,2005,2005,Other bacterial diseases,A30-A49,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,45-54 years,45-54,Male,M,53,1064486,5
,2005,2005,Other bacterial diseases,A30-A49,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Female,F,80,806721,9.9
,2005,2005,Other bacterial diseases,A30-A49,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Male,M,106,754210,14.1
,2005,2005,Other bacterial diseases,A30-A49,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Female,F,172,496810,34.6
,2005,2005,Other bacterial diseases,A30-A49,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Male,M,154,419268,36.7
,2005,2005,Other bacterial diseases,A30-A49,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Female,F,358,423068,84.6
,2005,2005,Other bacterial diseases,A30-A49,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Male,M,322,280970,114.6
,2005,2005,Other bacterial diseases,A30-A49,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Female,F,449,200364,224.1
,2005,2005,Other bacterial diseases,A30-A49,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Male,M,236,83492,282.7
,2005,2005,Viral hepatitis,B15-B19,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,45-54 years,45-54,Female,F,17,1113840,Unreliable
,2005,2005,Viral hepatitis,B15-B19,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,45-54 years,45-54,Male,M,65,1064486,6.1
,2005,2005,Viral hepatitis,B15-B19,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Female,F,14,806721,Unreliable
,2005,2005,Viral hepatitis,B15-B19,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Male,M,30,754210,4
,2005,2005,Human immunodeficiency virus [HIV] disease,B20-B24,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,25-34 years,25-34,Male,M,14,855891,Unreliable
,2005,2005,Human immunodeficiency virus [HIV] disease,B20-B24,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,35-44 years,35-44,Female,F,49,1124163,4.4
,2005,2005,Human immunodeficiency virus [HIV] disease,B20-B24,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,35-44 years,35-44,Male,M,86,1081288,8
,2005,2005,Human immunodeficiency virus [HIV] disease,B20-B24,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,45-54 years,45-54,Female,F,48,1113840,4.3
,2005,2005,Human immunodeficiency virus [HIV] disease,B20-B24,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,45-54 years,45-54,Male,M,101,1064486,9.5
,2005,2005,Human immunodeficiency virus [HIV] disease,B20-B24,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Female,F,17,806721,Unreliable
,2005,2005,Human immunodeficiency virus [HIV] disease,B20-B24,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Male,M,44,754210,5.8
,2005,2005,Human immunodeficiency virus [HIV] disease,B20-B24,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Male,M,12,419268,Unreliable
,2005,2005,Other viral diseases,B25-B34,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,85+ years,85+,Female,F,12,200364,Unreliable
,2005,2005,Sequelae of infectious and parasitic diseases,B90-B94,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,45-54 years,45-54,Male,M,36,1064486,3.4
,2005,2005,Sequelae of infectious and parasitic diseases,B90-B94,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,55-64 years,55-64,Male,M,15,754210,Unreliable
,2005,2005,Sequelae of infectious and parasitic diseases,B90-B94,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,65-74 years,65-74,Female,F,14,496810,Unreliable
,2005,2005,Sequelae of infectious and parasitic diseases,B90-B94,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Female,F,16,423068,Unreliable
,2005,2005,Sequelae of infectious and parasitic diseases,B90-B94,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,75-84 years,75-84,Male,M,10,280970,Unreliable
,2005,2005,Malignant neoplasms,C00-C97,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,5-14 years,14-May,Female,F,18,901060,Unreliable
,2005,2005,Malignant neoplasms,C00-C97,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,5-14 years,14-May,Male,M,24,946656,2.5
