Year,Year Code,HHS Region,HHS Region Code,ICD Sub-Chapter,ICD Sub-Chapter Code,Notes,Ten-Year Age Groups,Ten-Year Age Groups Code,Gender,Gender Code,Deaths,Population,Crude Rate
2015,2015,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,,45-54 years,45-54,Male,M,14,1050488,Unreliable
2015,2015,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,,55-64 years,55-64,Female,F,32,1061729,3
2015,2015,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,,55-64 years,55-64,Male,M,24,992105,2.4
2015,2015,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,,65-74 years,65-74,Female,F,56,710316,7.9
2015,2015,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,,65-74 years,65-74,Male,M,45,627566,7.2
2015,2015,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,,75-84 years,75-84,Female,F,94,385002,24.4
2015,2015,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,,75-84 years,75-84,Male,M,82,286053,28.7
2015,2015,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,,85+ years,85+,Female,F,183,235967,77.6
2015,2015,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Intestinal infectious diseases,A00-A09,,85+ years,85+,Male,M,102,116471,87.6
2015,2015,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,,35-44 years,35-44,Male,M,17,867110,Unreliable
2015,2015,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,,45-54 years,45-54,Female,F,37,1106211,3.3
2015,2015,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,,45-54 years,45-54,Male,M,48,1050488,4.6
2015,2015,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,,55-64 years,55-64,Female,F,128,1061729,12.1
2015,2015,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,,55-64 years,55-64,Male,M,130,992105,13.1
2015,2015,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,,65-74 years,65-74,Female,F,172,710316,24.2
2015,2015,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,,65-74 years,65-74,Male,M,229,627566,36.5
2015,2015,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,,75-84 years,75-84,Female,F,269,385002,69.9
2015,2015,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,,75-84 years,75-84,Male,M,277,286053,96.8
2015,2015,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,,85+ years,85+,Female,F,467,235967,197.9
2015,2015,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other bacterial diseases,A30-A49,,85+ years,85+,Male,M,311,116471,267
2015,2015,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Viral hepatitis,B15-B19,,45-54 years,45-54,Female,F,15,1106211,Unreliable
2015,2015,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Viral hepatitis,B15-B19,,45-54 years,45-54,Male,M,46,1050488,4.4
2015,2015,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Viral hepatitis,B15-B19,,55-64 years,55-64,Female,F,37,1061729,3.5
2015,2015,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Viral hepatitis,B15-B19,,55-64 years,55-64,Male,M,84,992105,8.5
2015,2015,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Viral hepatitis,B15-B19,,65-74 years,65-74,Male,M,34,627566,5.4
2015,2015,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Human immunodeficiency virus [HIV] disease,B20-B24,,45-54 years,45-54,Female,F,20,1106211,1.8
2015,2015,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Human immunodeficiency virus [HIV] disease,B20-B24,,45-54 years,45-54,Male,M,36,1050488,3.4
2015,2015,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Human immunodeficiency virus [HIV] disease,B20-B24,,55-64 years,55-64,Female,F,14,1061729,Unreliable
2015,2015,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Human immunodeficiency virus [HIV] disease,B20-B24,,55-64 years,55-64,Male,M,54,992105,5.4
2015,2015,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Human immunodeficiency virus [HIV] disease,B20-B24,,65-74 years,65-74,Male,M,21,627566,3.3
2015,2015,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Other viral diseases,B25-B34,,85+ years,85+,Female,F,16,235967,Unreliable
2015,2015,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Mycoses,B35-B49,,65-74 years,65-74,Male,M,12,627566,Unreliable
2015,2015,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Malignant neoplasms,C00-C97,,5-14 years,14-May,Female,F,11,821028,Unreliable
2015,2015,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Malignant neoplasms,C00-C97,,5-14 years,14-May,Male,M,14,857690,Unreliable
2015,2015,"HHS Region #1  CT, ME, MA, NH, RI, VT",HHS1,Malignant neoplasms,C00-C97,,15-24 years,15-24,Female,F,26,1002121,2.6
